North American Industry Classification,Fiscal Year,Industry Total Obligation/De-Obligation
DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING,2013,"$23,768,272.95"
LIBRARIES AND ARCHIVES,2013,"$23,725,385.85"
ALL OTHER PUBLISHERS,2013,"$23,426,510.80"
CREDIT BUREAUS,2013,"$23,098,182.60"
HUMAN RESOURCES CONSULTING SERVICES,2013,"$22,627,543.57"
"MEDICAL, DENTAL, AND HOSPITAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS",2013,"$22,278,049.49"
TESTING LABORATORIES,2013,"$21,438,654.84"
ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING,2013,"$19,559,378.50"
"REGULATION, LICENSING, AND INSPECTION OF MISCELLANEOUS COMMERCIAL SECTORS",2013,"$19,209,166.64"
NATURAL GAS DISTRIBUTION,2013,"$18,743,410.14"
MEDICAL LABORATORIES,2013,"$18,625,874.70"
ENVIRONMENTAL CONSULTING SERVICES,2013,"$18,311,467.80"
OFFICES OF LAWYERS,2013,"$16,964,603.96"
ALL OTHER ANIMAL PRODUCTION,2013,"$16,794,697.06"
"REGULATION AND ADMINISTRATION OF COMMUNICATIONS, ELECTRIC, GAS, AND OTHER UTILITIES",2013,"$16,410,287.03"
PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,2013,"$16,040,752.08"
BLOOD AND ORGAN BANKS,2013,"$15,978,478.07"
OFFICES OF ALL OTHER MISCELLANEOUS HEALTH PRACTITIONERS,2013,"$15,853,210.83"
HOTELS (EXCEPT CASINO HOTELS) AND MOTELS,2013,"$15,329,564.77"
OFFICE FURNITURE (EXCEPT WOOD) MANUFACTURING,2013,"$14,648,897.74"
INDUSTRIAL BUILDING CONSTRUCTION,2013,"$14,532,691.44"
IN-VITRO DIAGNOSTIC SUBSTANCE MANUFACTURING,2013,"$14,320,831.44"
PRINTING MACHINERY AND EQUIPMENT MANUFACTURING,2013,"$13,318,752.16"
INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,2013,"$12,951,823.95"
TRAVEL AGENCIES,2013,"$12,694,972.68"
NEW SINGLE-FAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),2013,"$10,955,629.00"
ARCHITECTURAL SERVICES,2013,"$10,842,108.93"
ALL OTHER INFORMATION SERVICES,2013,"$10,630,509.46"
ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS,2013,"$10,363,395.71"
PARKING LOTS AND GARAGES,2013,"$9,892,858.87"
INVESTIGATION SERVICES,2013,"$9,773,134.00"
GENERAL MEDICAL AND SURGICAL HOSPITALS,2013,"$9,696,845.02"
PERIODICAL PUBLISHERS,2013,"$8,954,580.47"
PHOTOGRAPHIC AND PHOTOCOPYING EQUIPMENT MANUFACTURING,2013,"$8,511,529.81"
"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES",2013,"$8,320,636.52"
ROOFING CONTRACTORS,2013,"$8,288,209.12"
COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS,2013,"$8,183,958.03"
CONVENTION AND TRADE SHOW ORGANIZERS,2013,"$8,007,152.50"
PACKAGING AND LABELING SERVICES,2013,"$7,675,344.76"
AUDIO AND VIDEO EQUIPMENT MANUFACTURING,2013,"$7,548,163.52"
SECURITY SYSTEMS SERVICES (EXCEPT LOCKSMITHS),2013,"$7,486,140.49"
"PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",2013,"$7,391,126.56"
SOLID WASTE COLLECTION,2013,"$7,349,650.99"
ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION,2013,"$7,345,593.41"
SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,2013,"$7,267,793.81"
WATER AND SEWER LINE AND RELATED STRUCTURES CONSTRUCTION,2013,"$6,818,652.07"
DIAGNOSTIC IMAGING CENTERS,2013,"$6,798,267.38"
REMEDIATION SERVICES,2013,"$6,793,148.94"
COMPUTER TRAINING,2013,"$6,658,115.60"
PETROLEUM AND PETROLEUM PRODUCTS MERCHANT WHOLESALERS (EXCEPT BULK STATIONS AND TERMINALS),2013,"$6,596,389.36"
NATIONAL SECURITY,2013,"$6,437,836.13"
CRUDE PETROLEUM AND NATURAL GAS EXTRACTION,2013,"$6,257,904.70"
GENERAL WAREHOUSING AND STORAGE,2013,"$6,206,967.61"
COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,2013,"$6,118,798.78"
VETERINARY SERVICES,2013,"$5,879,505.56"
COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE,2013,"$5,803,254.26"
ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,2013,"$5,668,196.38"
OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2013,"$5,565,141.85"
OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2013,"$5,254,996.64"
PAYROLL SERVICES,2013,"$5,176,912.26"
OTHER WAREHOUSING AND STORAGE,2013,"$5,159,124.52"
SPECIALTY (EXCEPT PSYCHIATRIC AND SUBSTANCE ABUSE) HOSPITALS,2013,"$5,111,994.40"
NONUPHOLSTERED WOOD HOUSEHOLD FURNITURE MANUFACTURING,2013,"$4,997,292.53"
MOTION PICTURE AND VIDEO PRODUCTION,2013,"$4,910,072.45"
USED HOUSEHOLD AND OFFICE GOODS MOVING,2013,"$4,841,295.98"
EMERGENCY AND OTHER RELIEF SERVICES,2013,"$4,668,555.73"
"INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",2013,"$4,543,305.26"
HAZARDOUS WASTE TREATMENT AND DISPOSAL,2013,"$4,194,960.14"
OPTICAL INSTRUMENT AND LENS MANUFACTURING,2013,"$4,116,129.08"
COMPUTER STORAGE DEVICE MANUFACTURING,2013,"$4,026,407.18"
DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED),2013,"$3,938,585.27"
OTHER BUILDING EQUIPMENT CONTRACTORS,2013,"$3,924,055.52"
ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES,2013,"$3,909,629.00"
BOOK PUBLISHERS,2013,"$3,882,470.03"
OTHER COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT RENTAL AND LEASING,2013,"$3,853,505.18"
DENTAL LABORATORIES,2013,"$3,763,336.97"
PROFESSIONAL ORGANIZATIONS,2013,"$3,736,839.94"
AIR PURIFICATION EQUIPMENT MANUFACTURING,2013,"$3,661,211.89"
TEMPORARY SHELTERS,2013,"$3,650,616.00"
ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING,2013,"$3,562,481.52"
FITNESS AND RECREATIONAL SPORTS CENTERS,2013,"$3,350,817.58"
OUTPATIENT MENTAL HEALTH AND SUBSTANCE ABUSE CENTERS,2013,"$3,290,601.10"
LANDSCAPING SERVICES,2013,"$3,219,639.36"
MORTGAGE AND NONMORTGAGE LOAN BROKERS,2013,"$3,215,807.80"
TRANSLATION AND INTERPRETATION SERVICES,2013,"$3,134,077.42"
ALL OTHER SUPPORT SERVICES,2013,"$3,106,466.97"
COMMERCIAL BANKING,2013,"$2,938,551.62"
CHILD AND YOUTH SERVICES,2013,"$2,918,693.74"
ALL OTHER SPECIALTY TRADE CONTRACTORS,2013,"$2,775,182.52"
OTHER CUT AND SEW APPAREL MANUFACTURING,2013,"$2,741,285.31"
ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING,2013,"$2,597,916.28"
PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,2013,"$2,583,163.74"
POWER AND COMMUNICATION LINE AND RELATED STRUCTURES CONSTRUCTION,2013,"$2,514,399.68"
BUSINESS ASSOCIATIONS,2013,"$2,491,202.32"
OTHER SERVICES TO BUILDINGS AND DWELLINGS,2013,"$2,412,747.68"
OFFICE SUPPLIES AND STATIONERY STORES,2013,"$2,391,514.57"
"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS",2013,"$2,271,508.97"
OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,2013,"$2,262,770.43"
DOCUMENT PREPARATION SERVICES,2013,"$2,223,646.07"
OFFICES OF DENTISTS,2013,"$2,178,620.34"
ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES,2013,"$2,121,008.74"
SCHEDULED PASSENGER AIR TRANSPORTATION,2013,"$2,047,202.05"
OTHER INDIVIDUAL AND FAMILY SERVICES,2013,"$1,988,877.37"
EXTERMINATING AND PEST CONTROL SERVICES,2013,"$1,955,155.82"
INDUSTRIAL GAS MANUFACTURING,2013,"$1,953,565.95"
IRRADIATION APPARATUS MANUFACTURING,2013,"$1,907,015.53"
INTERNET SERVICE PROVIDERS,2013,"$1,901,042.84"
ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING,2013,"$1,890,260.31"
"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE",2013,"$1,889,036.82"
"SMALL ARMS, ORDNANCE, AND ORDNANCE ACCESSORIES MANUFACTURING",2013,"$1,788,266.87"
ALL OTHER BUSINESS SUPPORT SERVICES,2013,"$1,781,885.20"
OTHER SOUND RECORDING INDUSTRIES,2013,"$1,729,346.33"
TOTALIZING FLUID METER AND COUNTING DEVICE MANUFACTURING,2013,"$1,698,625.73"
AMBULANCE SERVICES,2013,"$1,620,360.55"
FURNITURE MERCHANT WHOLESALERS,2013,"$1,555,344.41"
COURIERS AND EXPRESS DELIVERY SERVICES,2013,"$1,550,646.93"
PRIVATE MAIL CENTERS,2013,"$1,539,868.70"
OFFICE MACHINERY AND EQUIPMENT RENTAL AND LEASING,2013,"$1,517,953.06"
SERVICES FOR THE ELDERLY AND PERSONS WITH DISABILITIES,2013,"$1,459,593.53"
NURSING CARE FACILITIES (SKILLED NURSING FACILITIES),2013,"$1,456,507.40"
"SOFTWARE AND OTHER PRERECORDED COMPACT DISC, TAPE, AND RECORD REPRODUCING",2013,"$1,447,384.24"
OTHER ANIMAL FOOD MANUFACTURING,2013,"$1,441,465.95"
"HUMAN RESOURCES CONSULTING SERVICES (2007), HUMAN RESOURCES AND EXECUTIVE SEARCH CONSULTING SERVICES (2002)",2013,"$1,439,594.72"
RESIDENTIAL MENTAL HEALTH AND SUBSTANCE ABUSE FACILITIES,2013,"$1,428,129.50"
ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,2013,"$1,426,409.75"
INTERIOR DESIGN SERVICES,2013,"$1,396,999.17"
COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS),2013,"$1,379,170.50"
RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,2013,"$1,370,271.01"
OTHER COMMERCIAL AND SERVICE INDUSTRY MACHINERY MANUFACTURING,2013,"$1,277,631.78"
ALL OTHER PLASTICS PRODUCT MANUFACTURING,2013,"$1,276,492.49"
OTHER GENERAL GOVERNMENT SUPPORT,2013,"$1,269,023.30"
FIBER OPTIC CABLE MANUFACTURING,2013,"$1,263,297.00"
SANITARY PAPER PRODUCT MANUFACTURING,2013,"$1,242,020.51"
OTHER SPECIALIZED DESIGN SERVICES,2013,"$1,240,227.00"
POLISH AND OTHER SANITATION GOOD MANUFACTURING,2013,"$1,236,497.70"
INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,2013,"$1,234,148.89"
ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING,2013,"$1,156,026.09"
OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2013,"$1,150,889.92"
LABORATORY APPARATUS AND FURNITURE MANUFACTURING,2013,"$1,116,495.69"
CAMERA AND PHOTOGRAPHIC SUPPLIES STORES,2013,"$1,107,434.30"
VOCATIONAL REHABILITATION SERVICES,2013,"$1,101,314.56"
OFFICE EQUIPMENT MERCHANT WHOLESALERS,2013,"$1,097,647.23"
POURED CONCRETE FOUNDATION AND STRUCTURE CONTRACTORS,2013,"$1,092,277.53"
WATER SUPPLY AND IRRIGATION SYSTEMS,2013,"$1,090,496.38"
OFFICES OF MENTAL HEALTH PRACTITIONERS (EXCEPT PHYSICIANS),2013,"$1,036,495.12"
ALL OTHER MISCELLANEOUS MANUFACTURING,2013,"$1,034,116.63"
ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION,2013,"$1,024,566.32"
ELEMENTARY AND SECONDARY SCHOOLS,2013,"$1,016,082.92"
WOOD OFFICE FURNITURE MANUFACTURING,2013,"$1,008,256.41"
PACKAGING MACHINERY MANUFACTURING,2013,"$995,232.04"
REGULATION OF AGRICULTURAL MARKETING AND COMMODITIES,2013,"$941,368.75"
ALL OTHER MISCELLANEOUS FOOD MANUFACTURING,2013,"$940,456.62"
"HIGHWAY, STREET, AND BRIDGE CONSTRUCTION",2013,"$915,708.41"
WIRELESS TELECOMMUNICATIONS CARRIERS (EXCEPT SATELLITE),2013,"$889,516.61"
"OFFICES OF PHYSICAL, OCCUPATIONAL AND SPEECH THERAPISTS, AND AUDIOLOGISTS",2013,"$866,829.48"
FUR-BEARING ANIMAL AND RABBIT PRODUCTION,2013,"$859,746.36"
LINEN SUPPLY,2013,"$834,040.10"
CARBON PAPER AND INKED RIBBON MANUFACTURING,2013,"$828,219.95"
OTHER ACTIVITIES RELATED TO CREDIT INTERMEDIATION,2013,"$825,050.43"
PHARMACIES AND DRUG STORES,2013,"$807,246.59"
"OFFICES OF PHYSICIANS, MENTAL HEALTH SPECIALISTS",2013,"$806,479.95"
SITE PREPARATION CONTRACTORS,2013,"$797,793.31"
OTHER CHEMICAL AND ALLIED PRODUCTS MERCHANT WHOLESALERS,2013,"$797,694.40"
PUBLIC FINANCE ACTIVITIES,2013,"$778,562.00"
CORRUGATED AND SOLID FIBER BOX MANUFACTURING,2013,"$776,039.82"
TELECOMMUNICATIONS RESELLERS,2013,"$722,390.46"
POSTAL SERVICE,2013,"$709,026.40"
KIDNEY DIALYSIS CENTERS,2013,"$704,623.00"
MOTOR VEHICLE BODY MANUFACTURING,2013,"$665,981.84"
MUSEUMS,2013,"$649,855.16"
PETROLEUM BULK STATIONS AND TERMINALS,2013,"$635,453.59"
FLOORING CONTRACTORS,2013,"$627,724.88"
HARDWARE STORES,2013,"$625,935.97"
PUMP AND PUMPING EQUIPMENT MANUFACTURING,2013,"$609,842.17"
HAZARDOUS WASTE COLLECTION,2013,"$603,578.29"
OTHER COMMERCIAL EQUIPMENT MERCHANT WHOLESALERS,2013,"$600,912.60"
INDUSTRIAL MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2013,"$600,671.16"
EMPLOYMENT PLACEMENT AGENCIES,2013,"$561,558.24"
DIE-CUT PAPER AND PAPERBOARD OFFICE SUPPLIES MANUFACTURING,2013,"$549,775.70"
SATELLITE TELECOMMUNICATIONS,2013,"$541,828.03"
OFFICES OF OPTOMETRISTS,2013,"$524,982.00"
ICE MANUFACTURING,2013,"$516,007.19"
TRUCK TRAILER MANUFACTURING,2013,"$501,348.49"
SURVEYING AND MAPPING (EXCEPT GEOPHYSICAL) SERVICES,2013,"$496,134.81"
APPLIANCE REPAIR AND MAINTENANCE,2013,"$492,103.85"
COMMERCIAL PHOTOGRAPHY,2013,"$485,205.00"
LOCAL MESSENGERS AND LOCAL DELIVERY,2013,"$481,319.84"
DIRECTORY AND MAILING LIST PUBLISHERS,2013,"$466,206.91"
GRAPHIC DESIGN SERVICES,2013,"$465,240.16"
PLASTICS MATERIAL AND RESIN MANUFACTURING,2013,"$464,508.94"
OPHTHALMIC GOODS MANUFACTURING,2013,"$459,152.56"
COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING,2013,"$443,222.61"
SOAP AND OTHER DETERGENT MANUFACTURING,2013,"$430,702.49"
NEW MULTIFAMILY HOUSING CONSTRUCTION (EXCEPT FOR-SALE BUILDERS),2013,"$430,000.00"
RESIDENTIAL INTELLECTUAL AND DEVELOPMENTAL DISABILITY FACILITIES,2013,"$425,884.00"
STATIONERY AND OFFICE SUPPLIES MERCHANT WHOLESALERS,2013,"$422,387.14"
COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE,2013,"$421,613.24"
PETROLEUM REFINERIES,2013,"$419,092.95"
OTHER GRANTMAKING AND GIVING SERVICES,2013,"$416,572.24"
INDUSTRIAL LAUNDERERS,2013,"$413,159.01"
POLICE PROTECTION,2013,"$411,039.28"
AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING,2013,"$408,878.59"
LIQUEFIED PETROLEUM GAS (BOTTLED GAS) DEALERS,2013,"$407,863.71"
SPORTING AND ATHLETIC GOODS MANUFACTURING,2013,"$398,929.11"
OTHER SOCIAL ADVOCACY ORGANIZATIONS,2013,"$385,078.22"
MEDICINAL AND BOTANICAL MANUFACTURING,2013,"$384,853.48"
OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,2013,"$372,249.88"
AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS,2013,"$369,155.33"
COURT REPORTING AND STENOTYPE SERVICES,2013,"$365,797.60"
OTHER ELECTRONIC PARTS AND EQUIPMENT MERCHANT WHOLESALERS,2013,"$354,996.99"
BROADWOVEN FABRIC MILLS,2013,"$349,971.01"
FARM MACHINERY AND EQUIPMENT MANUFACTURING,2013,"$349,812.00"
ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2013,"$345,094.25"
GENERAL LINE GROCERY MERCHANT WHOLESALERS,2013,"$342,812.98"
OFFICES OF PODIATRISTS,2013,"$330,318.00"
PAINTING AND WALL COVERING CONTRACTORS,2013,"$326,477.31"
FREIGHT TRANSPORTATION ARRANGEMENT,2013,"$318,201.07"
SUPERMARKETS AND OTHER GROCERY (EXCEPT CONVENIENCE) STORES,2013,"$316,950.24"
NONSCHEDULED CHARTERED PASSENGER AIR TRANSPORTATION,2013,"$310,536.30"
OTHER ELECTRONIC COMPONENT MANUFACTURING,2013,"$310,176.03"
COMMERCIAL SCREEN PRINTING,2013,"$309,452.79"
RADIO STATIONS,2013,"$301,900.00"
ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS,2013,"$299,602.50"
LESSORS OF RESIDENTIAL BUILDINGS AND DWELLINGS,2013,"$297,044.48"
AMERICAN INDIAN AND ALASKA NATIVE TRIBAL GOVERNMENTS,2013,"$292,629.67"
FUEL DEALERS,2013,"$289,426.07"
OTHER HEAVY AND CIVIL ENGINEERING CONSTRUCTION,2013,"$288,890.60"
"SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",2013,"$285,102.97"
COMMUNITY FOOD SERVICES,2013,"$283,622.92"
"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT WHOLESALERS",2013,"$281,970.40"
OTHER BUILDING FINISHING CONTRACTORS,2013,"$275,114.44"
SERVICE ESTABLISHMENT EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2013,"$270,858.68"
INSTITUTIONAL FURNITURE MANUFACTURING,2013,"$269,733.21"
VOLUNTARY HEALTH ORGANIZATIONS,2013,"$269,560.00"
CONSUMER ELECTRONICS REPAIR AND MAINTENANCE,2013,"$268,153.30"
SWITCHGEAR AND SWITCHBOARD APPARATUS MANUFACTURING,2013,"$265,918.24"
DIRECT MAIL ADVERTISING,2013,"$264,274.00"
PLASTICS AND RUBBER INDUSTRY MACHINERY MANUFACTURING,2013,"$263,299.74"
METAL TANK (HEAVY GAUGE) MANUFACTURING,2013,"$261,697.19"
TOBACCO MANUFACTURING,2013,"$261,692.00"
CONSTRUCTION MACHINERY MANUFACTURING,2013,"$260,820.00"
CIVIC AND SOCIAL ORGANIZATIONS,2013,"$259,129.00"
"GENERAL FREIGHT TRUCKING, LOCAL",2013,"$250,502.25"
LESSORS OF OTHER REAL ESTATE PROPERTY,2013,"$246,591.79"
ELECTRONIC CAPACITOR MANUFACTURING,2013,"$244,111.20"
SEWAGE TREATMENT FACILITIES,2013,"$242,992.48"
"PHOTOGRAPHIC FILM, PAPER, PLATE, AND CHEMICAL MANUFACTURING",2013,"$242,606.17"
PERISHABLE PREPARED FOOD MANUFACTURING,2013,"$240,233.09"
PROFESSIONAL EMPLOYER ORGANIZATIONS,2013,"$237,040.70"
SIGN MANUFACTURING,2013,"$236,448.84"
OTHER FUEL DEALERS,2013,"$223,162.00"
OTHER FABRICATED WIRE PRODUCT MANUFACTURING,2013,"$223,021.47"
BUILDING INSPECTION SERVICES,2013,"$220,069.86"
CURTAIN AND DRAPERY MILLS,2013,"$212,486.79"
HARDWARE MANUFACTURING,2013,"$205,656.02"
OTHER MISCELLANEOUS NONDURABLE GOODS MERCHANT WHOLESALERS,2013,"$204,117.64"
SPORTING AND RECREATIONAL GOODS AND SUPPLIES MERCHANT WHOLESALERS,2013,"$197,604.07"
OTHER FOOTWEAR MANUFACTURING,2013,"$196,519.83"
LOCKSMITHS,2013,"$193,016.56"
OFFICE MACHINERY MANUFACTURING,2013,"$190,297.76"
CONSUMER ELECTRONICS AND APPLIANCES RENTAL,2013,"$189,172.34"
SCHOOL AND EMPLOYEE BUS TRANSPORTATION,2013,"$188,714.64"
SEMICONDUCTOR AND RELATED DEVICE MANUFACTURING,2013,"$186,602.15"
WARM AIR HEATING AND AIR-CONDITIONING EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2013,"$184,813.60"
"COMMERCIAL LAUNDRY, DRYCLEANING, AND PRESSING MACHINE MANUFACTURING",2013,"$182,084.10"
LESSORS OF MINIWAREHOUSES AND SELF-STORAGE UNITS,2013,"$181,217.08"
POWER BOILER AND HEAT EXCHANGER MANUFACTURING,2013,"$177,000.00"
TELEPRODUCTION AND OTHER POSTPRODUCTION SERVICES,2013,"$174,457.50"
APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,2013,"$173,956.60"
HARDWARE MERCHANT WHOLESALERS,2013,"$173,835.11"
HOME HEALTH CARE SERVICES,2013,"$173,638.31"
BLANK MAGNETIC AND OPTICAL RECORDING MEDIA MANUFACTURING,2013,"$171,944.67"
PLASTICS MATERIALS AND BASIC FORMS AND SHAPES MERCHANT WHOLESALERS,2013,"$168,266.77"
HMO MEDICAL CENTERS,2013,"$167,458.51"
BOOKS PRINTING,2013,"$162,781.16"
ALL OTHER MISCELLANEOUS WOOD PRODUCT MANUFACTURING,2013,"$155,406.26"
TRADEBINDING AND RELATED WORK,2013,"$153,050.85"
CARPET AND RUG MILLS,2013,"$152,558.67"
OTHER BUSINESS SERVICE CENTERS (INCLUDING COPY SHOPS),2013,"$152,033.50"
PIPELINE TRANSPORTATION OF NATURAL GAS,2013,"$151,000.00"
OTHER DIRECT SELLING ESTABLISHMENTS,2013,"$147,664.87"
FOOD SERVICE CONTRACTORS,2013,"$146,698.30"
FARM AND GARDEN MACHINERY AND EQUIPMENT MERCHANT WHOLESALERS,2013,"$142,364.49"
PAPER (EXCEPT NEWSPRINT) MILLS,2013,"$141,524.33"
CUT AND SEW APPAREL CONTRACTORS,2013,"$133,959.38"
ADMINISTRATION OF EDUCATION PROGRAMS,2013,"$133,643.70"
REFRIGERATION EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,2013,"$130,332.71"
CABLE AND OTHER SUBSCRIPTION PROGRAMMING,2013,"$129,627.17"
"EXECUTIVE AND LEGISLATIVE OFFICES, COMBINED",2013,"$126,176.06"
EXECUTIVE OFFICES,2013,"$125,051.00"
OTHER MISCELLANEOUS DURABLE GOODS MERCHANT WHOLESALERS,2013,"$124,664.17"
"SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",2013,"$124,457.82"
INDUSTRIAL AND PERSONAL SERVICE PAPER MERCHANT WHOLESALERS,2013,"$124,433.91"
OPHTHALMIC GOODS MERCHANT WHOLESALERS,2013,"$122,089.84"
OFFICE SUPPLIES (EXCEPT PAPER) MANUFACTURING,2013,"$117,546.82"
AIR AND GAS COMPRESSOR MANUFACTURING,2013,"$116,541.02"
CHILD DAY CARE SERVICES,2013,"$116,025.00"
PLUMBING AND HEATING EQUIPMENT AND SUPPLIES (HYDRONICS) MERCHANT WHOLESALERS,2013,"$113,787.29"
"OVERHEAD TRAVELING CRANE, HOIST, AND MONORAIL SYSTEM MANUFACTURING",2013,"$109,544.00"
SPECIAL NEEDS TRANSPORTATION,2013,"$108,321.00"
INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,2013,"$108,025.02"
SMALL ARMS AMMUNITION MANUFACTURING,2013,"$106,466.53"
VITREOUS CHINA PLUMBING FIXTURE AND CHINA AND EARTHENWARE BATHROOM ACCESSORIES MANUFACTURING,2013,"$105,719.36"
DIGITAL PRINTING,2013,"$105,352.00"
FURNITURE STORES,2013,"$104,395.26"
OTHER ENGINE EQUIPMENT MANUFACTURING,2013,"$104,287.93"
RELIGIOUS ORGANIZATIONS,2013,"$103,900.04"
SEPTIC TANK AND RELATED SERVICES,2013,"$103,688.24"
PACKING AND CRATING,2013,"$99,908.92"
CANVAS AND RELATED PRODUCT MILLS,2013,"$99,375.76"
ALL OTHER CUT AND SEW APPAREL MANUFACTURING,2013,"$94,460.16"
OIL AND GAS PIPELINE AND RELATED STRUCTURES CONSTRUCTION,2013,"$92,515.96"
RESIDENTIAL REMODELERS,2013,"$91,900.00"
FINE ARTS SCHOOLS,2013,"$91,528.10"
LAWN AND GARDEN TRACTOR AND HOME LAWN AND GARDEN EQUIPMENT MANUFACTURING,2013,"$91,160.55"
FIRE PROTECTION,2013,"$90,636.85"
PASSENGER CAR RENTAL,2013,"$90,081.00"
ADMINISTRATION OF AIR AND WATER RESOURCE AND SOLID WASTE MANAGEMENT PROGRAMS,2013,"$88,795.27"
PROFESSIONAL EMPLOYER ORGANIZATIONS (FORMERLY EMPLOYEE LEASING SERVICES),2013,"$85,000.00"
"OTHER DIRECT INSURANCE (EXCEPT LIFE, HEALTH, AND MEDICAL) CARRIERS",2013,"$82,650.84"
ALL OTHER NONDEPOSITORY CREDIT INTERMEDIATION,2013,"$82,518.40"
MEDIA REPRESENTATIVES,2013,"$82,382.51"
SPORTS AND RECREATION INSTRUCTION,2013,"$82,336.29"
FLORICULTURE PRODUCTION,2013,"$82,292.21"
ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION,2013,"$78,303.68"
PETROLEUM LUBRICATING OIL AND GREASE MANUFACTURING,2013,"$78,080.20"
ALL OTHER RUBBER PRODUCT MANUFACTURING,2013,"$77,384.48"
OTHER INDUSTRIAL MACHINERY MANUFACTURING,2013,"$77,242.35"
"COMMERCIAL, INDUSTRIAL, AND INSTITUTIONAL ELECTRIC LIGHTING FIXTURE MANUFACTURING",2013,"$76,130.70"
"SPECIALIZED FREIGHT (EXCEPT USED GOODS) TRUCKING, LONG-DISTANCE",2013,"$75,336.87"
NEWSPAPER PUBLISHERS,2013,"$75,178.87"
LEGAL COUNSEL AND PROSECUTION,2013,"$74,700.00"
HYDROELECTRIC POWER GENERATION,2013,"$74,507.91"
OTHER BUILDING MATERIAL DEALERS,2013,"$74,111.53"
